Symbol,Company_Name,LTP,Marketcap,Nepse_Weight
SBI,Nepal SBI Bank Limited,419.0,47494171191.19,1.00 %
SBL,Siddhartha Bank Limited,398.0,58882027210.94,1.24 %
SCB,Standard Chartered Bank Limited,668.0,67083020339.21,1.41 %
SFCL,Samriddhi Finance Company Limited,414.5,3394388167.5,0.07 %
SGHC,Swet-Ganga Hydropower and Construction Limited,414.1,6596613000.0,0.14 %
SGIC,Sanima GIC Insurance Limited,497.0,10685500000.0,0.23 %
SHEL,Singati Hydro Energy Limited,337.5,10276875000.0,0.22 %
SHINE,Shine Resunga Development Bank Ltd.,425.7,21378537905.74,0.45 %
SHIVM,SHIVAM CEMENTS LTD,659.0,36859377215.38,0.78 %
SHL,Soaltee Hotel Limited,511.0,60048126057.39,1.27 %
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1645.0,1799218750.0,0.04 %
SHPC,Sanima Mai Hydropower Ltd.,558.7,20884170857.77,0.44 %
SICL,Shikhar Insurance Co. Ltd.,665.0,20604924851.0,0.43 %
SIFC,Shree Investment Finance Co. Ltd.,605.0,6050004256.07,0.13 %
SIKLES,Sikles Hydropower Limited,692.9,6773097500.0,0.14 %
SINDU,Sindhu Bikash Bank Ltd,768.1,4281820050.63,0.09 %
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,315.0,11497500000.0,0.24 %
SJLIC,Suryajyoti Life Insurance Company Limited,462.0,23155198824.27,0.49 %
SKBBL,Sana Kisan Bikas Bank Ltd,798.0,39318817181.99,0.83 %
SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,864.0,7738274537.28,0.16 %
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1354.9,2314236945.0,0.05 %
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,818.1,5403584438.88,0.11 %
SMB,Support Microfinance Bittiya Sanstha Ltd.,1922.2,2577200734.15,0.05 %
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1660.0,2547172426.41,0.05 %
SMH,Supermai Hydropower Limited,639.0,4102380000.0,0.09 %
SMHL,Super Madi Hydropower Limited,527.0,12201367500.0,0.26 %
SMJC,Sagarmatha Jalbidhyut Company Limited,490.1,5749853200.0,0.12 %
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,890.0,6237639760.0,0.13 %
SNLI,Sun Nepal Life Insurance Company Limited,490.0,25885660342.5,0.55 %
SONA,Sonapur Minerals and Oil Limited,452.4,13911526200.0,0.29 %
SPC,Samling Power Company Limited,513.8,2569000000.0,0.05 %
SPDL,Synergy Power Development Ltd.,436.8,5813147340.0,0.12 %
SPHL,Sayapatri Hydropower Limited,571.9,1715700000.0,0.04 %
SPIL,Siddhartha Premier Insurance Limited,731.0,20515879769.0,0.43 %
SPL,Shuvam Power Limited,746.1,1492200000.0,0.03 %
SRLI,Sanima Reliance Life Insurance Limited,408.0,20460890146.78,0.43 %
SSHL,Shiva Shree Hydropower Ltd,229.8,6785534400.0,0.14 %
STC,Salt Trading Corporation,6057.0,21368408530.5,0.45 %
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,2892.4,1670361000.0,0.04 %
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,773.5,13536250064.35,0.29 %
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,688.0,7611249738.5,0.16 %
SYPNL,SY Panel Nepal Limited,1850.0,24200536350.0,0.51 %
TAMOR,Sanima Middle Tamor Hydropower Limited,432.1,14399732500.0,0.30 %
TPC,Terhathum Power Company Limited,425.0,3400000000.0,0.07 %
TRH,Taragaon Regency Hotel Limited,771.1,15129908553.76,0.32 %
TSHL,Three Star Hydropower Limited,811.1,3994667500.0,0.08 %
TTL,Trade Tower Limited,935.0,7625950695.0,0.16 %
TVCL,Trishuli Jal Vidhyut Company Limited,613.1,10969356942.87,0.23 %
UAIL,United Ajod Insurance Limited,467.4,11876631351.04,0.25 %
UHEWA,Upper Hewakhola Hydropower Company Limited,582.3,3348225000.0,0.07 %
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,3270.0,3471039600.0,0.07 %
ULHC,Upper Lohore Hydropower Company Limited,555.0,2829412200.0,0.06 %
UMHL,United Modi Hydropower Ltd.,626.9,7714004500.0,0.16 %
UMRH,United Idi-Mardi and R.B. Hydropower Limited,576.0,2787063552.0,0.06 %
UNHPL,Union Hydropower Limited,490.8,3681000000.0,0.08 %
UNL,Unilever Nepal Limited,46300.0,42642300000.0,0.90 %
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Ltd.,1918.0,2849668500.0,0.06 %
UPCL,UNIVERSAL POWER COMPANY LTD,403.0,10015048181.55,0.21 %
UPPER,Upper Tamakoshi Hydropower Ltd,218.0,46172400000.0,0.97 %
USHEC,Upper Solu Hydro Electric Company Limited,498.0,6723000000.0,0.14 %
USHL,Upper Syange Hydropower Limited,753.9,1658580000.0,0.03 %
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1471.0,3631395035.4,0.08 %
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,777.0,5788963597.2,0.12 %
VLUCL,Vision Lumbini Urja Company Limited,588.0,11245500000.0,0.24 %
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Ltd.,1600.0,1349448800.0,0.03 %
